,nodes,building,geometry,addr:housenumber,addr:street,building:levels,id,start_date,addr:postcode,building:material,source,addr:city,name,addr:place,roof:shape,roof:material,building:colour,height,roof:height,wheelchair,level,roof:colour,building:facade:material,loc_name,addr:suburb,building:year_built,postal_code,addr:flats,building:parts,construction,members,type,amenity,ref,opening_hours,capacity:bed,emergency,health_specialty:emergency_medicine,provided_for:adult,healthcare,healthcare:speciality,lon,lat
6351,"[3884400863, 3884400867, 4215045890, 4215045889, 4215045888, 4215045887, 3884400866, 3884400854, 3884400855, 4215045883, 3884400862, 3884400863]",apartments,POINT (73.36979567367217 54.99996573504542),107,Октябрьская улица,13,385081756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.36979567367217,54.99996573504542
6352,"[3902771665, 5839801160, 3902771666, 3902771664, 3902771663, 3902771665]",apartments,POINT (73.2944770725792 54.98006690446959),25,бульвар Архитекторов,16,386917679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2944770725792,54.98006690446959
6353,"[3913980410, 3913980387, 3913980382, 3913980401, 3913980410]",apartments,POINT (73.29244290579678 54.98863109630179),,,,388180286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.29244290579678,54.98863109630179
6354,"[3952987883, 4364286765, 3952987884, 4364286768, 3952987885, 3952987886, 3952987882, 3952987881, 3952987880, 3952987879, 3952987878, 3952987877, 3952987883]",apartments,POINT (73.45456595262145 54.96740847055829),14Б к6,Космический проспект,10,392014181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.45456595262145,54.96740847055829
6355,"[3970846735, 3970846729, 3970846721, 3970846732, 3970846735]",apartments,POINT (73.31797855000001 54.94142255000001),,,,394046647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.31797855,54.941422550000006
6356,"[3995037919, 3995037916, 3995037926, 3995037928, 3995037929, 6271380508, 3995037939, 3995037937, 3995037930, 3995037925, 3995037922, 3995037919]",apartments,POINT (73.32601277619507 55.0294955581993),14 к1,1-я Пригородная улица,10,396677954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.32601277619507,55.0294955581993
6357,"[3995037945, 6271380510, 6271380511, 6271380512, 6271380513, 3995037933, 3995037927, 3995037940, 3995037935, 3995037938, 6271380509, 3995037944, 3995037943, 3995037945]",apartments,POINT (73.32676153885878 55.02983368837578),14 к2,1-я Пригородная улица,10,396677955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.32676153885878,55.02983368837578
6358,"[3995037919, 3995037917, 3995037915, 3995037913, 3995037912, 3995037916, 3995037919]",apartments,POINT (73.32684907665168 55.02918899789259),14,1-я Пригородная улица,10,396677956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.32684907665168,55.02918899789259
6359,"[3995037948, 3995037950, 6271380507, 3995037954, 3995037956, 3995049357, 6271380506, 3995037955, 3995037948]",apartments,POINT (73.32935102472901 55.03063448402914),24 к1,проспект Королёва,10,396677960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.32935102472901,55.030634484029136
6360,"[1983971468, 413446820, 4006900372, 4006900369, 4006900365, 4006900362, 4006900360, 4006900355, 413446821, 413446822, 1983971468]",apartments,POINT (73.27923970744972 54.99150014620805),7В,улица Путилова,5,397913384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.27923970744972,54.99150014620805
